0:3456,1728,432,432,432,1296,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,1296,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,1296,432,432,432,1296,432,432,432,432,432,1296,432,1296,432,1296,432,432,432,1296,432,432,432,1296,432,432,432,432,432,1296,432,1296,432,432,432,432,432,432,432,1296,432,432,432,1296,432,432,432,432,432,1296,432,1296,432,1296,432
1:3456,1728,432,432,432,1296,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,1296,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,1296,432,432,432,1296,432,432,432,432,432,1296,432,1296,432,1296,432,432,432,1296,432,432,432,432,432,432,432,432,432,432,432,1296,432,432,432,432,432,432,432,432,432,432,432,1296,432,1296,432,432,432,1296,432,1296,432,1296,432
2:3456,1728,432,432,432,1296,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,1296,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,1296,432,432,432,1296,432,432,432,432,432,1296,432,1296,432,1296,432,432,432,1296,432,432,432,1296,432,432,432,432,432,432,432,1296,432,432,432,432,432,432,432,1296,432,432,432,1296,432,1296,432,432,432,1296,432,1296,432,1296,432
3:3456,1728,432,432,432,1296,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,1296,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,1296,432,432,432,1296,432,432,432,432,432,1296,432,1296,432,1296,432,432,432,1296,432,432,432,432,432,1296,432,432,432,432,432,1296,432,432,432,432,432,432,432,432,432,1296,432,1296,432,1296,432,432,432,1296,432,1296,432,1296,432
4:3456,1728,432,432,432,1296,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,1296,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,1296,432,432,432,1296,432,432,432,432,432,1296,432,1296,432,1296,432,432,432,1296,432,432,432,1296,432,1296,432,432,432,432,432,1296,432,432,432,432,432,432,432,1296,432,1296,432,1296,432,1296,432,432,432,1296,432,1296,432,1296,432
5:3456,1728,432,432,432,1296,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,1296,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,1296,432,432,432,1296,432,432,432,432,432,1296,432,1296,432,1296,432,432,432,1296,432,432,432,432,432,432,432,1296,432,432,432,1296,432,432,432,432,432,432,432,432,432,432,432,432,432,1296,432,432,432,1296,432,1296,432,1296,432
6:3456,1728,432,432,432,1296,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,1296,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,1296,432,432,432,1296,432,432,432,432,432,1296,432,1296,432,1296,432,432,432,1296,432,432,432,1296,432,432,432,1296,432,432,432,1296,432,432,432,432,432,432,432,1296,432,432,432,432,432,1296,432,432,432,1296,432,1296,432,1296,432
7:3456,1728,432,432,432,1296,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,1296,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,1296,432,432,432,1296,432,432,432,432,432,1296,432,1296,432,1296,432,432,432,1296,432,432,432,432,432,1296,432,1296,432,432,432,1296,432,432,432,432,432,432,432,432,432,1296,432,432,432,1296,432,432,432,1296,432,1296,432,1296,432
8:3456,1728,432,432,432,1296,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,1296,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,1296,432,432,432,1296,432,432,432,432,432,1296,432,1296,432,1296,432,432,432,1296,432,432,432,1296,432,1296,432,1296,432,432,432,1296,432,432,432,432,432,432,432,1296,432,1296,432,432,432,1296,432,432,432,1296,432,1296,432,1296,432
9:3456,1728,432,432,432,1296,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,1296,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,1296,432,432,432,1296,432,432,432,432,432,1296,432,1296,432,1296,432,432,432,1296,432,432,432,432,432,432,432,432,432,1296,432,1296,432,432,432,432,432,432,432,432,432,432,432,1296,432,432,432,432,432,1296,432,1296,432,1296,432
